PLAYER,YRS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,BA,HOF
Player 0347,25,1775,4793,313,1170,266,31,187,828,670,391,174,24,0.244,0
Player 0348,24,2208,6414,264,1738,241,55,251,1190,743,755,125,31,0.271,0
Player 0349,5,400,1341,98,286,67,12,40,115,138,113,25,4,0.213,0
Player 0350,5,390,1309,44,418,80,24,48,306,167,240,47,13,0.319,0
Player 0351,14,2058,7183,517,1768,353,71,141,1249,740,1596,238,20,0.246,0
Player 0352,2,74,234,18,79,18,2,2,37,23,56,9,1,0.338,0
Player 0353,8,1000,3837,244,1031,170,71,177,369,273,582,74,18,0.269,0
Player 0354,11,1540,6240,129,1909,393,40,325,1129,692,758,103,21,0.306,0
Player 0355,25,2750,8028,385,2152,423,145,384,1130,672,1738,191,27,0.268,1
Player 0356,25,1900,7128,347,1916,411,113,154,1245,384,699,326,66,0.269,0
Player 0357,4,180,657,37,163,37,9,6,91,81,154,13,4,0.248,0
Player 0358,23,2599,8808,733,2414,486,141,167,918,481,1712,293,39,0.274,0
Player 0359,3,255,719,41,202,25,5,33,90,79,115,25,4,0.281,0
Player 0360,19,836,3220,227,781,110,38,121,549,206,307,132,45,0.243,0
Player 0361,22,1562,6455,181,1714,401,97,344,625,574,535,113,36,0.266,0
Player 0362,23,3450,12858,557,3197,755,179,284,2061,1637,2148,289,25,0.249,1
Player 0363,6,354,1437,32,503,118,15,46,234,84,210,54,12,0.35,0
Player 0364,23,1104,4607,268,1229,152,30,205,652,506,989,41,4,0.267,0
Player 0365,3,339,1050,38,340,56,11,17,191,110,191,37,12,0.324,0
Player 0366,13,650,2330,88,613,129,25,123,275,298,347,50,9,0.263,0
Player 0367,12,1728,5712,432,1594,335,74,197,973,374,663,306,59,0.279,0
Player 0368,8,1088,4544,215,1016,132,62,24,637,554,712,144,22,0.224,0
Player 0369,1,152,404,12,102,19,5,2,39,36,42,1,0,0.252,0
Player 0370,20,2860,9154,230,2539,348,132,449,1268,810,1709,436,51,0.277,1
Player 0371,9,504,2010,96,654,117,19,74,423,165,355,65,19,0.325,0
Player 0372,17,884,2636,130,732,108,30,113,467,223,552,93,19,0.278,0
Player 0373,11,759,2913,90,927,117,31,128,526,281,442,38,8,0.318,0
Player 0374,10,860,2709,184,792,102,22,70,523,161,337,30,9,0.292,0
Player 0375,23,3197,13318,416,4354,998,67,598,1711,1175,2847,373,48,0.327,1
Player 0376,3,360,1440,75,385,80,12,74,152,156,274,30,3,0.267,0
Player 0377,19,2052,6181,335,2185,506,63,84,1339,586,1193,321,62,0.354,0
Player 0378,19,2641,10060,319,2545,448,118,434,1596,653,1654,144,42,0.253,1
Player 0379,10,1080,3318,119,806,136,14,67,544,274,730,127,12,0.243,0
Player 0380,7,518,1828,68,416,67,12,38,175,164,212,27,7,0.228,0
Player 0381,1,78,282,6,99,19,1,7,55,31,40,9,1,0.351,0
Player 0382,24,2208,8633,326,2578,418,129,415,1583,1131,1790,40,9,0.299,1
Player 0383,24,864,2195,240,566,118,26,13,248,218,222,66,15,0.258,0
Player 0384,7,847,2434,222,763,164,25,64,424,269,509,33,3,0.313,0
Player 0385,1,109,404,17,118,26,2,15,71,23,55,12,1,0.292,0
Player 0386,4,480,1659,99,562,83,38,17,244,225,166,30,8,0.339,0
Player 0387,2,188,628,38,135,24,6,28,67,49,58,26,4,0.215,0
Player 0388,21,2646,6863,694,1789,262,93,357,780,561,1474,78,18,0.261,1
Player 0389,23,3404,10525,449,2671,332,118,100,1899,737,2153,355,118,0.254,0
Player 0390,4,396,1572,57,315,64,18,19,140,90,198,43,3,0.2,0
Player 0391,19,1558,3976,228,1221,226,78,213,486,481,392,21,4,0.307,0
Player 0392,5,190,603,16,157,32,5,8,57,43,72,3,0,0.26,0
Player 0393,10,1260,5174,188,1530,199,81,46,563,390,590,78,8,0.296,0
Player 0394,15,2130,5509,581,1942,465,53,289,828,365,1086,241,81,0.353,0
Player 0395,18,2070,7813,580,2012,481,102,387,1193,1076,894,359,121,0.258,0
Player 0396,22,3014,8854,313,2260,397,83,334,806,1065,1014,76,12,0.255,1
Player 0397,2,272,1080,49,296,66,4,35,137,144,91,35,11,0.274,0
Player 0398,5,640,2411,104,734,109,49,122,273,307,423,81,7,0.304,0
Player 0399,8,720,2884,135,721,150,45,108,368,379,548,89,30,0.25,0
Player 0400,8,296,848,59,210,47,6,32,77,78,156,28,8,0.248,0
Player 0401,25,625,2126,52,652,141,45,100,386,138,363,108,14,0.307,0
Player 0402,20,1020,3901,270,1104,240,35,146,690,309,915,97,23,0.283,0
Player 0403,9,729,2126,214,421,73,16,64,270,162,330,111,32,0.198,0
Player 0404,25,3025,8749,676,1986,433,122,214,873,1002,1903,165,27,0.227,0
Player 0405,13,1092,2780,246,896,181,28,83,624,145,509,160,28,0.322,0
Player 0406,13,364,1503,71,426,57,16,46,266,94,140,65,16,0.283,0
Player 0407,11,572,2120,87,515,68,26,48,191,236,444,94,11,0.243,0
Player 0408,4,608,2176,68,574,122,12,59,302,132,377,37,4,0.264,0
Player 0409,24,3672,13824,765,3738,729,142,623,2456,751,2551,564,83,0.27,1
Player 0410,1,74,251,6,74,13,2,6,35,15,27,1,0,0.295,0
Player 0411,5,645,2134,168,474,108,24,13,238,239,320,80,14,0.222,0
Player 0412,6,708,2311,122,555,110,12,44,334,144,510,48,10,0.24,0
Player 0413,7,1022,3667,175,1025,171,28,60,381,231,419,124,16,0.28,0
Player 0414,4,560,1591,85,424,71,22,71,312,112,127,44,5,0.266,0
Player 0415,1,106,425,31,123,23,2,11,51,49,51,1,0,0.289,0
Player 0416,17,1292,5012,153,1137,240,43,95,410,340,791,63,6,0.227,0
Player 0417,25,2650,8199,300,2316,434,125,373,815,436,1733,45,11,0.282,1
Player 0418,4,264,919,30,283,51,16,5,144,120,168,21,3,0.308,0
Player 0419,8,560,1534,125,440,91,8,21,309,197,348,85,22,0.287,0
Player 0420,13,1352,5614,403,1543,315,95,260,1046,374,858,183,33,0.275,0
Player 0421,24,2376,9586,313,2556,561,140,311,1827,708,1366,342,105,0.267,1
Player 0422,18,1800,7321,502,1762,224,59,319,992,490,856,265,25,0.241,0
Player 0423,20,1500,4597,211,1229,258,70,215,650,527,528,109,35,0.267,0
Player 0424,15,1170,3261,260,1024,186,56,169,516,236,644,112,17,0.314,0
Player 0425,11,286,817,25,217,27,10,6,79,109,75,27,2,0.266,0
Player 0426,5,515,1366,97,326,65,14,61,232,170,162,15,3,0.239,0
Player 0427,22,2178,5889,487,1488,306,82,238,816,606,1305,243,34,0.253,0
Player 0428,21,3066,8036,607,2226,406,155,123,1184,408,1384,406,82,0.277,0
Player 0429,1,90,376,11,96,20,4,19,53,48,32,10,2,0.255,0
Player 0430,18,1530,4017,401,1152,179,68,101,769,463,773,209,61,0.287,0
Player 0431,3,99,269,29,77,11,4,13,33,32,43,2,0,0.286,0
Player 0432,19,950,3711,171,1117,181,69,130,708,209,804,132,45,0.301,0
Player 0433,21,1428,4978,314,1592,269,107,155,1009,566,941,64,13,0.32,0
Player 0434,4,296,1129,75,344,70,8,14,237,138,91,47,4,0.305,0
Player 0435,11,792,2829,105,671,148,16,143,237,385,319,40,12,0.237,0
Player 0436,4,304,1215,82,289,59,13,39,120,124,147,28,3,0.238,0
Player 0437,15,1860,6668,263,1782,251,70,35,959,638,1282,172,21,0.267,0
Player 0438,24,1008,3414,252,867,142,40,20,598,301,551,56,5,0.254,0
Player 0439,3,204,757,21,174,24,10,33,128,85,151,14,2,0.23,0
Player 0440,10,460,1499,65,381,77,25,19,224,199,242,19,3,0.254,0
Player 0441,25,1625,5018,320,1271,190,48,175,552,521,664,173,27,0.253,0
Player 0442,8,904,2978,176,734,134,39,116,311,209,287,149,35,0.246,0
Player 0443,4,124,345,33,89,19,2,6,53,17,38,7,1,0.258,0
Player 0444,13,897,3457,268,1075,215,47,115,466,365,498,86,28,0.311,0
Player 0445,13,364,1071,37,296,46,4,18,169,136,180,56,5,0.276,0
Player 0446,17,2533,6993,353,2493,398,106,365,1705,391,1609,220,26,0.356,1
Player 0447,8,952,2778,151,766,151,34,133,387,238,328,144,34,0.276,0
Player 0448,24,1344,5283,249,1372,255,76,102,687,711,985,115,12,0.26,0
Player 0449,14,700,2142,132,578,76,29,67,210,203,223,59,10,0.27,0
Player 0450,8,296,1085,79,302,67,10,32,136,75,210,10,2,0.278,0
Player 0451,25,2150,8505,536,2425,440,37,450,1525,695,695,67,19,0.285,1
Player 0452,24,2928,7706,246,2640,466,56,190,1304,668,1425,333,46,0.343,0
Player 0453,13,1300,4940,234,1187,170,81,163,490,299,524,195,50,0.24,0
Player 0454,1,139,420,30,126,20,8,21,49,45,45,4,1,0.3,0
Player 0455,15,1035,2968,187,822,131,27,39,318,306,502,170,53,0.277,0
Player 0456,14,854,3135,92,674,102,19,101,413,339,439,60,9,0.215,0
Player 0457,4,348,1408,58,418,78,16,14,248,147,218,28,7,0.297,0
Player 0458,16,816,2449,139,769,134,40,87,428,126,316,132,37,0.314,0
Player 0459,22,3322,11517,402,2764,626,95,268,1520,756,2678,539,77,0.24,1
Player 0460,3,147,439,36,118,27,2,23,48,28,55,14,3,0.269,0
Player 0461,19,1653,5690,249,1192,174,44,146,655,334,948,94,24,0.209,0
Player 0462,4,368,1309,77,295,38,8,15,110,152,283,14,2,0.225,0
Player 0463,19,608,2150,117,659,141,21,100,474,130,400,34,6,0.307,0
Player 0464,11,935,3328,255,844,202,20,153,314,366,438,133,26,0.254,0
Player 0465,1,84,229,8,52,11,2,9,27,15,38,5,1,0.227,0
Player 0466,25,1450,5334,152,1483,182,65,226,519,323,497,185,14,0.278,0
Player 0467,5,205,747,29,188,28,5,13,124,48,124,8,1,0.252,0
Player 0468,15,450,1647,78,417,52,18,61,173,157,245,41,5,0.253,0
Player 0469,5,130,341,18,100,21,4,2,71,36,68,9,2,0.293,0
Player 0470,24,2088,6806,517,1560,296,91,101,573,837,1467,199,52,0.229,0
Player 0471,19,684,2185,91,520,94,35,112,352,134,244,73,15,0.238,0
Player 0472,21,3129,8283,308,2281,425,50,347,1397,873,770,558,126,0.275,1
Player 0473,11,616,1772,105,538,80,34,29,242,212,252,100,16,0.304,0
Player 0474,12,1308,4250,327,1331,255,71,44,573,331,703,167,27,0.313,0
Player 0475,16,1792,6743,478,1663,205,88,353,819,385,945,64,17,0.247,0
Player 0476,20,1780,5167,429,1564,308,55,54,1065,330,933,295,34,0.303,0
Player 0477,22,3058,11958,619,2900,603,98,213,2014,696,1924,494,142,0.243,0
Player 0478,1,39,133,9,44,8,0,1,18,17,30,6,1,0.331,0
Player 0479,17,935,3546,214,816,130,56,19,400,297,515,85,27,0.23,0
Player 0480,3,171,564,22,178,39,8,11,79,54,52,6,0,0.316,0
Player 0481,8,336,1125,67,277,57,10,60,110,134,144,46,9,0.246,0
Player 0482,21,1323,4701,330,1600,216,71,103,973,392,831,100,9,0.34,0
Player 0483,7,455,1855,68,539,77,9,56,263,201,224,31,10,0.291,0
Player 0484,20,2480,8273,555,1939,380,47,349,853,470,1017,189,49,0.234,0
Player 0485,12,768,2610,142,656,101,32,84,456,243,350,80,19,0.251,0
Player 0486,6,828,2917,157,867,116,37,123,562,171,581,55,15,0.297,0
Player 0487,9,1125,4222,112,1295,179,75,160,854,305,972,143,22,0.307,0
Player 0488,14,1988,5212,450,1394,194,71,184,509,398,709,238,57,0.267,0
Player 0489,20,760,2566,205,696,123,33,96,498,294,285,73,21,0.271,0
Player 0490,16,2432,8071,270,2393,461,143,362,1387,893,1188,46,4,0.296,0
Player 0491,24,2496,10150,400,2787,393,52,411,1537,1189,1383,422,143,0.275,1
Player 0492,22,3344,11165,303,2509,515,132,497,888,620,2661,267,85,0.225,1
Player 0493,19,1349,4446,116,1073,164,58,54,760,620,685,116,39,0.241,0
Player 0494,16,2368,9793,705,2724,428,82,380,1546,537,1847,207,61,0.278,1
Player 0495,8,808,2638,152,824,120,21,110,560,327,596,58,9,0.312,0
Player 0496,11,374,1050,59,342,73,9,20,209,122,189,46,10,0.326,0
Player 0497,3,234,671,32,199,46,5,32,133,69,80,2,0,0.297,0
Player 0498,10,420,1117,124,312,55,13,22,195,99,197,66,18,0.279,0
Player 0499,24,3528,8823,478,2613,326,58,151,1877,1042,1273,96,11,0.296,0
Player 0500,11,704,2276,168,561,84,28,110,246,265,335,126,39,0.246,0
Player 0501,3,159,605,22,160,22,3,10,68,37,143,18,2,0.264,0
Player 0502,17,1632,6114,155,1474,325,24,157,936,741,761,34,4,0.241,0
Player 0503,25,2000,5109,460,1156,150,37,119,636,291,792,211,20,0.226,0
Player 0504,22,814,2823,65,795,187,20,140,468,268,298,53,14,0.282,0
Player 0505,7,917,2533,209,700,133,48,70,443,273,275,157,20,0.276,0
Player 0506,12,1608,6592,217,1938,352,61,261,1102,817,1163,222,29,0.294,0
Player 0507,14,1694,4716,413,1363,302,37,210,906,432,943,162,20,0.289,0
Player 0508,7,735,2620,183,729,89,18,95,348,186,476,61,9,0.278,0
Player 0509,7,539,1646,128,476,101,16,85,330,154,218,96,32,0.289,0
Player 0510,6,570,2046,48,549,73,26,92,215,148,183,70,14,0.268,0
Player 0511,25,2300,7361,540,2093,462,121,184,1263,718,1142,223,33,0.284,0
Player 0512,19,874,3313,260,810,148,28,174,571,303,532,67,8,0.244,0
Player 0513,22,770,2226,102,629,80,31,69,283,267,452,50,4,0.283,0
Player 0514,21,1197,4835,167,1418,311,58,29,681,346,882,155,27,0.293,0
Player 0515,24,2016,6754,522,1665,205,102,121,786,459,1481,221,24,0.247,0
Player 0516,3,135,511,15,138,18,6,18,79,47,104,20,1,0.27,0
Player 0517,23,874,3447,196,855,184,26,44,440,188,477,90,9,0.248,0
Player 0518,2,270,1133,66,285,50,15,38,112,80,205,29,4,0.252,0
Player 0519,12,876,2523,77,581,131,34,58,410,206,503,79,22,0.23,0
Player 0520,15,1500,4481,302,1408,276,57,142,608,420,1044,209,20,0.314,0
Player 0521,9,837,2448,173,752,146,52,12,423,181,361,67,17,0.307,0
Player 0522,4,480,1414,70,408,63,25,67,239,142,259,74,18,0.289,0
Player 0523,5,605,2111,165,715,97,18,48,261,272,301,39,12,0.339,0
Player 0524,21,1323,5542,153,1459,343,85,66,566,548,1097,169,21,0.263,0
Player 0525,8,1080,4518,172,1671,221,80,121,1234,342,1020,174,51,0.37,0
Player 0526,8,584,1982,155,519,95,23,58,319,110,450,82,25,0.262,0
Player 0527,24,3192,11447,389,3192,487,138,422,1160,713,1203,217,74,0.279,1
Player 0528,4,308,1220,80,312,47,19,38,208,122,137,40,11,0.256,0
Player 0529,23,897,3665,87,1037,198,50,26,573,408,735,40,4,0.283,0
Player 0530,24,2952,8403,553,2514,542,112,408,955,457,1520,58,19,0.299,1
Player 0531,15,420,1427,40,379,80,6,39,235,95,320,60,18,0.266,0
Player 0532,5,625,2447,143,812,182,32,21,446,192,318,92,12,0.332,0
Player 0533,4,120,361,30,100,15,6,15,43,28,77,1,0,0.277,0
Player 0534,8,408,1325,108,370,65,20,50,259,180,250,69,22,0.279,0
Player 0535,15,1545,6451,457,1536,186,27,241,716,440,717,132,16,0.238,0
Player 0536,4,588,2454,133,698,146,44,64,323,136,245,96,27,0.284,0
Player 0537,12,936,3781,233,1003,156,60,96,460,309,727,134,25,0.265,0
Player 0538,3,120,462,22,114,21,5,14,74,28,48,19,5,0.247,0
Player 0539,14,770,2277,216,552,77,8,17,349,139,471,116,12,0.242,0
Player 0540,1,141,429,31,155,33,7,8,110,37,72,24,6,0.361,0
Player 0541,18,2142,7347,587,1915,417,34,399,845,569,1148,250,54,0.261,0
Player 0542,2,76,262,10,57,12,1,9,37,15,32,3,0,0.218,0
Player 0543,5,375,1259,70,309,38,15,32,178,131,298,28,3,0.245,0
Player 0544,5,295,1056,70,283,67,18,17,133,100,206,40,4,0.268,0
Player 0545,21,1008,3219,125,930,139,32,136,338,183,658,36,4,0.289,0
Player 0546,2,270,1018,34,294,46,18,18,199,129,206,45,4,0.289,0
Player 0547,11,1155,3542,340,1040,155,68,46,464,267,614,51,17,0.294,0
Player 0548,15,720,2204,126,545,82,8,28,328,300,507,114,12,0.247,0
Player 0549,13,1417,3848,170,1084,201,30,159,617,515,667,130,17,0.282,0
Player 0550,18,1404,3960,214,947,140,51,147,333,352,646,214,63,0.239,0
Player 0551,21,672,2651,112,658,110,37,22,492,187,328,116,17,0.248,0
Player 0552,10,830,2704,180,643,127,23,29,434,338,338,67,9,0.238,0
Player 0553,21,1029,2971,291,678,149,34,109,369,245,587,132,34,0.228,0
Player 0554,8,448,1698,133,521,105,25,56,324,109,226,21,3,0.307,0
Player 0555,25,3475,11960,776,3517,672,195,470,1901,1191,2351,507,154,0.294,1
Player 0556,13,1521,3857,355,1173,161,63,53,759,362,896,227,57,0.304,0
Player 0557,19,798,2424,120,657,143,12,100,265,306,364,48,7,0.271,0
Player 0558,22,2970,8318,797,2472,307,58,430,1306,961,794,41,9,0.297,1
Player 0559,20,1980,7157,253,1491,226,33,250,721,922,1335,164,51,0.208,0
Player 0560,22,3036,9009,313,2704,342,179,133,1443,1046,734,118,21,0.3,0
Player 0561,14,1708,4458,502,1231,246,80,173,652,480,917,254,70,0.276,0
Player 0562,2,138,357,37,104,17,6,7,42,33,58,7,1,0.291,0
Player 0563,13,1222,4263,179,1207,239,25,31,893,592,675,208,47,0.283,0
Player 0564,5,470,1192,107,280,45,13,23,99,162,203,82,22,0.235,0
Player 0565,23,2714,10701,495,2328,406,58,538,824,1352,1740,446,42,0.218,1
Player 0566,6,342,945,51,231,40,8,24,115,113,124,38,7,0.244,0
Player 0567,6,408,1440,58,417,52,12,69,249,146,180,22,2,0.29,0
Player 0568,7,392,1276,43,375,64,22,38,158,93,186,57,15,0.294,0
Player 0569,17,1071,3483,215,773,152,17,107,435,448,777,138,33,0.222,0
Player 0570,15,675,1769,120,416,77,21,9,265,90,179,118,19,0.235,0
Player 0571,24,696,2689,134,657,84,45,99,254,189,354,51,5,0.244,0
Player 0572,11,1617,6497,205,1672,334,88,67,1243,560,719,32,10,0.257,0
Player 0573,8,272,685,77,152,23,2,19,73,70,101,48,7,0.222,0
Player 0574,2,280,785,61,172,20,11,14,104,78,79,42,6,0.219,0
Player 0575,1,25,100,6,24,3,1,2,9,6,20,1,0,0.24,0
Player 0576,10,1260,4327,131,1181,212,47,137,748,257,417,168,39,0.273,0
Player 0577,24,1608,4430,348,1013,159,51,25,695,310,825,16,2,0.229,0
Player 0578,14,1288,3664,343,974,198,61,70,381,298,450,135,41,0.266,0
Player 0579,23,1403,5081,214,1560,232,64,276,624,260,790,100,26,0.307,0
Player 0580,3,264,985,32,221,47,9,7,102,110,110,19,1,0.224,0
Player 0581,3,249,876,34,230,35,9,18,81,63,172,12,2,0.263,0
Player 0582,21,1953,8047,273,2461,478,46,169,1832,656,1864,110,15,0.306,0
Player 0583,3,228,761,40,194,41,11,18,114,60,87,19,1,0.255,0
Player 0584,2,188,565,28,141,23,3,22,83,54,131,9,2,0.25,0
Player 0585,11,1452,4808,202,1493,187,54,83,1095,612,634,129,17,0.311,0
Player 0586,24,1944,6048,432,1568,288,56,169,1070,383,1023,210,67,0.259,0
Player 0587,18,1278,3682,117,1136,272,34,137,767,297,707,167,39,0.309,0
Player 0588,3,126,324,19,92,21,3,6,44,36,36,15,2,0.284,0
Player 0589,21,1491,4620,345,1191,174,58,242,576,249,698,76,26,0.258,0
Player 0590,22,902,3345,107,959,202,30,180,447,417,303,15,3,0.287,0
Player 0591,21,1008,2551,129,717,115,17,28,350,348,488,152,18,0.281,0
Player 0592,23,3404,11051,422,3378,470,212,245,1681,1156,1620,538,118,0.306,1
Player 0593,6,216,776,17,194,38,13,11,78,105,172,38,12,0.25,0
Player 0594,25,2175,7694,400,2088,376,83,110,1028,670,952,376,73,0.271,0
Player 0595,9,1197,4572,106,1224,226,40,135,647,399,1041,140,27,0.268,0
Player 0596,21,3108,12052,435,3551,778,62,400,1682,717,1236,503,102,0.295,1
Player 0597,15,660,2448,197,573,91,9,64,238,130,433,56,8,0.234,0
Player 0598,20,920,2460,259,751,150,27,45,375,177,317,132,16,0.305,0
Player 0599,16,1168,3863,148,1106,181,73,73,599,359,421,201,47,0.286,0
Player 0600,17,1649,5814,244,1301,162,71,317,830,556,552,239,76,0.224,0
Player 0601,16,2384,6955,433,2171,359,74,355,1377,483,1285,192,53,0.312,0
Player 0602,20,1040,2675,276,931,217,63,23,401,281,313,77,8,0.348,0
Player 0603,19,874,2517,224,767,136,29,95,279,166,432,52,9,0.305,0
Player 0604,4,228,746,24,238,31,7,20,112,59,176,16,1,0.319,0
Player 0605,21,2898,9284,311,2534,513,97,366,1046,627,1212,433,70,0.273,1
Player 0606,14,392,1097,67,232,54,6,38,117,123,93,50,13,0.211,0
Player 0607,9,666,2598,180,533,122,33,128,395,250,267,34,5,0.205,0
Player 0608,13,520,2118,142,590,111,20,17,249,246,209,68,20,0.279,0
Player 0609,25,1125,3197,116,796,131,40,71,380,176,492,83,17,0.249,0
Player 0610,22,3168,12926,653,3076,583,111,701,1968,1141,2574,332,86,0.238,1
Player 0611,21,525,1328,59,355,77,22,18,196,181,169,38,12,0.267,0
Player 0612,12,792,3225,182,940,209,47,36,345,176,333,78,20,0.291,0
Player 0613,20,2880,11860,811,2599,567,108,491,1077,1039,2164,386,124,0.219,1
Player 0614,10,1040,2621,187,666,116,14,114,482,140,335,139,41,0.254,0
Player 0615,18,612,2323,60,749,100,48,89,293,146,399,84,19,0.322,0
Player 0616,16,1360,5643,282,1311,246,59,247,791,517,1294,104,16,0.232,0
Player 0617,7,1057,4270,179,1282,177,39,169,855,274,540,134,21,0.3,0
Player 0618,7,539,2236,139,565,71,35,26,257,216,362,27,8,0.253,0
Player 0619,2,186,639,28,184,33,3,22,117,85,133,16,1,0.288,0
Player 0620,4,376,989,102,305,60,9,43,127,67,188,41,13,0.308,0
Player 0621,11,1210,4773,169,1412,314,62,230,655,284,955,153,25,0.296,0
Player 0622,12,588,2083,67,628,134,21,36,298,258,424,97,27,0.301,0
Player 0623,5,670,2375,98,545,121,22,27,407,217,395,41,6,0.229,0
Player 0624,11,1683,5401,147,1668,352,49,237,726,699,895,258,87,0.309,0
Player 0625,16,688,2388,97,573,117,12,42,230,185,465,43,3,0.24,0
Player 0626,6,786,2170,177,605,73,10,14,435,231,415,81,14,0.279,0
Player 0627,9,1179,4430,131,1236,241,29,204,512,589,829,177,55,0.279,0
Player 0628,10,1210,3179,126,912,122,61,96,639,208,448,160,24,0.287,0
Player 0629,13,949,3549,103,1000,127,46,75,610,433,754,148,22,0.282,0
Player 0630,10,850,3351,82,805,111,33,18,467,358,394,126,40,0.24,0
Player 0631,19,2546,8409,693,1873,409,67,56,1218,1035,882,145,44,0.223,0
Player 0632,9,396,1333,113,400,83,21,59,256,87,180,70,7,0.3,0
Player 0633,11,1452,4400,131,1216,284,27,129,479,391,530,245,57,0.276,0
Player 0634,10,1440,5973,355,1852,439,55,74,1388,367,1111,119,16,0.31,0
Player 0635,5,565,2116,136,568,129,29,48,412,288,247,10,1,0.268,0
Player 0636,18,1242,3884,371,857,116,35,51,607,216,718,76,18,0.221,0
Player 0637,6,582,1627,91,494,111,28,17,295,90,263,88,9,0.304,0
Player 0638,8,248,712,35,183,40,11,13,102,93,74,42,8,0.257,0
Player 0639,20,2920,9602,524,2707,607,163,311,1528,740,1165,442,65,0.282,1
Player 0640,24,1656,6793,444,1680,232,42,105,598,704,1110,128,39,0.247,0
Player 0641,17,544,2038,130,667,89,13,45,366,154,402,10,2,0.327,0
Player 0642,23,2944,8437,540,2019,466,49,243,1210,914,1212,288,39,0.239,0
Player 0643,22,2420,9586,323,2475,348,143,249,1518,645,1123,179,59,0.258,0
Player 0644,13,1365,4290,327,1174,192,76,49,566,391,545,42,12,0.274,0
Player 0645,20,640,2526,171,585,102,38,17,315,247,240,17,2,0.232,0
Player 0646,9,1098,3196,184,899,121,28,21,543,255,268,39,13,0.281,0
Player 0647,12,1284,4560,291,1488,182,91,102,775,331,1074,57,8,0.326,0
Player 0648,14,1792,7303,301,1846,441,82,298,1356,457,696,247,39,0.253,0
Player 0649,25,3300,9696,611,2752,619,165,112,1739,1101,969,247,45,0.284,0
Player 0650,22,1144,4207,223,757,173,34,186,265,274,922,96,11,0.18,0
Player 0651,13,676,2824,169,758,116,17,115,272,215,525,75,19,0.268,0
Player 0652,17,2465,6793,727,1759,257,34,35,1101,545,1017,426,98,0.259,0
Player 0653,6,564,1494,100,360,61,24,9,185,135,274,78,25,0.241,0
Player 0654,21,1701,6202,264,1909,332,73,91,1309,702,1423,203,29,0.308,0
Player 0655,14,868,2671,140,690,83,23,20,289,236,256,118,14,0.258,0
Player 0656,14,1512,3963,165,1045,223,36,125,371,508,471,200,35,0.264,0
Player 0657,20,2460,8137,357,2089,500,74,56,1055,904,1771,313,37,0.257,0
Player 0658,16,400,1512,39,306,56,20,68,197,189,309,37,12,0.202,0
Player 0659,2,192,573,33,132,21,2,16,97,65,136,20,5,0.23,0
Player 0660,8,1232,3781,143,1148,191,24,156,807,239,492,108,31,0.304,0
Player 0661,5,305,1200,47,235,30,13,51,127,165,277,23,6,0.196,0
Player 0662,19,1159,3922,295,953,144,43,118,643,473,529,64,9,0.243,0
Player 0663,1,139,546,18,139,25,3,27,52,55,106,9,1,0.255,0
Player 0664,6,198,645,42,213,36,3,35,123,41,142,16,3,0.33,0
Player 0665,15,1140,4696,317,1394,258,38,107,1003,307,503,123,37,0.297,0
Player 0666,18,1512,5452,309,1365,302,40,61,694,574,615,143,24,0.25,0
Player 0667,13,1664,4487,204,1416,208,22,103,1039,392,776,47,3,0.316,0
Player 0668,22,902,3612,140,881,108,23,58,386,400,776,61,15,0.244,0
Player 0669,23,1863,6207,391,1895,236,105,195,743,518,574,137,18,0.305,0
Player 0670,4,176,482,33,107,14,6,11,59,46,104,22,4,0.222,0
Player 0671,24,3048,8411,343,2586,487,166,244,1843,562,1134,202,16,0.307,0
Player 0672,16,1712,6280,305,1606,348,58,271,762,401,910,19,4,0.256,0
Player 0673,16,1424,3674,284,859,194,27,68,575,208,493,34,6,0.234,0
Player 0674,3,228,681,31,178,34,12,21,74,84,153,21,6,0.261,0
Player 0675,16,704,1927,151,538,90,30,41,348,192,194,29,7,0.279,0
Player 0676,19,2736,8891,261,2246,311,100,393,1286,1202,1528,257,23,0.253,1
Player 0677,15,1635,5239,251,1516,254,43,193,636,615,543,175,51,0.289,0
Player 0678,3,198,670,50,167,26,5,3,106,79,153,33,9,0.249,0
Player 0679,14,1092,3249,149,947,212,41,123,601,311,674,132,34,0.291,0
Player 0680,24,2856,7295,608,2082,371,93,98,1157,900,856,43,14,0.285,0
Player 0681,19,2242,7946,381,2128,313,33,327,936,1071,1014,167,49,0.268,0
Player 0682,4,336,1053,50,268,41,18,35,107,121,148,48,6,0.255,0
Player 0683,24,1536,5540,432,1525,207,71,138,1117,329,802,83,15,0.275,0
Player 0684,24,2640,7087,410,2049,471,97,281,1254,769,1493,441,76,0.289,0
Player 0685,5,550,1387,72,474,59,12,66,319,84,236,54,11,0.342,0
Player 0686,21,2142,6259,599,1895,230,108,275,1191,356,929,55,18,0.303,0
Player 0687,11,374,1225,91,372,52,20,39,253,137,239,19,4,0.304,0
Player 0688,15,1290,4089,296,1512,328,30,168,627,511,626,211,34,0.37,0
Player 0689,12,1248,4839,113,1393,254,66,124,764,311,486,222,74,0.288,0
Player 0690,20,2960,9301,322,2669,520,136,413,1646,527,904,463,124,0.287,1
Player 0691,25,2325,7909,512,2330,379,142,367,911,1026,1045,149,22,0.295,1
Player 0692,20,1380,4842,173,1136,145,29,57,465,299,854,194,63,0.235,0
